id,ln_wage,age,age2,exper,exper2,educ,female,high,bachelor,secondary,vocational,other,private,no_jobs,age_drop,no_empl,f_work,m_work
1,7.1701198,27,729,5,25,16,1,0,1,0,0,0,1,3,16,75,1,1
2,10.275051,36,1296,13,169,19,0,1,0,0,0,0,1,2,16,75,1,0
3,3.9120231,25,625,7,49,16,0,0,1,0,0,0,1,5,16,1 - 2,1,0
4,5.6664267,24,576,9,81,10,0,0,0,0,0,1,1,6,14,75,,0
5,6.5792513,48,2304,32,1024,13,1,0,0,1,0,0,1,13,16,1 - 2,1,1
6,7.9010072,30,900,7,49,19,1,1,0,0,0,0,1,2,18,1000,1,0
7,6.1290503,16,256,1,1,13,0,0,0,1,0,0,1,2,15,100 - 199,,
8,6.1092477,16,256,0,0,13,1,0,0,1,0,0,1,2,16,17,,
9,7.6009026,48,2304,31,961,13,0,0,0,1,0,0,1,2,17,75,,0
10,6.6846118,16,256,1,1,13,1,0,0,1,0,0,1,3,15,100 - 199,,
11,6.3969297,40,1600,24,576,13,0,0,0,1,0,0,1,2,16,1 - 2,,1
12,5.7037826,64,4096,50,2500,10,0,0,0,0,0,1,1,6,15,75,1,0
13,7.3132205,24,576,6,36,13,0,0,0,1,0,0,1,3,18,150,1,0
14,7.7186856,33,1089,15,225,16,1,0,1,0,0,0,1,6,16,150,1,1
15,8.430109,30,900,9,81,19,0,1,0,0,0,0,1,2,18,350,1,0
16,6.9077554,26,676,9,81,16,1,0,1,0,0,0,1,4,18,37,1,1
17,6.7250338,27,729,13,169,10,0,0,0,0,0,1,0,6,15,100 - 199,,1
18,4.3820267,19,361,2,4,10,0,0,0,0,0,1,1,2,14,1 - 2,,1
19,9.8384151,28,784,10,100,13,0,0,0,1,0,0,0,2,15,1000,1,1
20,5.9135032,37,1369,21,441,13,0,0,0,1,0,0,1,5,16,100 - 199,,1
21,6.5510802,40,1600,26,676,13,0,0,0,1,0,0,1,8,15,1 - 2,1,1
22,4.5538769,17,289,1,1,13,0,0,0,1,0,0,1,2,16,100 - 199,,
23,3.9120231,28,784,23,529,13,0,0,0,1,0,0,1,9,15,100 - 199,1,1
24,5.9454207,56,3136,31,961,16,1,0,1,0,0,0,1,7,15,100 - 199,1,0
25,7.7828074,52,2704,30,900,19,0,1,0,0,0,0,1,5,18,75,1,0
26,7.7985229,21,441,4,16,13,0,0,0,1,0,0,1,2,18,1000,1,0
27,1.7917595,52,2704,36,1296,10,1,0,0,0,0,1,1,2,16,100 - 199,1,1
28,9.3501024,22,484,6,36,13,0,0,0,1,0,0,1,3,17,17,,1
29,7.377759,38,1444,21,441,13,0,0,0,1,0,0,1,7,18,75,1,1
30,5.3936276,19,361,2,4,10,1,0,0,0,0,1,0,2,15,37,,
31,7.9010072,25,625,3,9,16,1,0,1,0,0,0,1,2,16,750,1,1
32,10.181119,25,625,3,9,16,1,0,1,0,0,0,0,3,18,1000,1,1
33,5.9914646,21,441,2,4,16,1,0,1,0,0,0,1,4,19,75,,
34,5.768321,26,676,9,81,10,0,0,0,0,0,1,1,4,16,37,1,1
35,10.326793,26,676,5,25,19,1,1,0,0,0,0,0,2,17,37,1,1
36,6.8023949,25,625,9,81,13,1,0,0,1,0,0,0,6,15,17,1,1
37,7.1951871,22,484,1,1,16,1,0,1,0,0,0,1,2,16,75,1,1
38,7.377759,41,1681,24,576,13,0,0,0,1,0,0,0,8,16,1000,0,1
39,11.0021,60,3600,43,1849,19,0,1,0,0,0,0,0,2,16,75,1,0
40,6.0637851,22,484,4,16,13,1,0,0,1,0,0,1,3,18,150,1,1
41,7.3132205,24,576,7,49,16,0,0,1,0,0,0,1,2,16,37,1,0
42,5.857933,22,484,5,25,10,0,0,0,0,0,1,1,2,14,37,0,0
43,10.566175,33,1089,14,196,13,0,0,0,1,0,0,1,2,19,75,1,1
44,7.6496925,22,484,4,16,13,1,0,0,1,0,0,1,2,16,17,1,0
45,1.9459101,51,2601,16,256,10,1,0,0,0,0,1,0,3,16,150,0,0
46,5.5093884,23,529,6,36,13,0,0,0,1,0,0,1,2,17,150,0,0
47,5.4116459,26,676,5,25,19,1,1,0,0,0,0,1,2,18,100 - 199,1,0
48,9.7699566,23,529,7,49,13,1,0,0,1,0,0,1,2,16,750,1,1
49,10.341743,29,841,12,144,13,0,0,0,1,0,0,0,3,15,150,1,1
50,7.130899,27,729,4,16,13,0,0,0,1,0,0,1,2,18,17,1,1
51,6.8351846,34,1156,18,324,13,0,0,0,1,0,0,1,9,16,100 - 199,,1
52,7.0030656,48,2304,32,1024,10,0,0,0,0,0,1,1,2,16,75,1,0
53,8.2068567,31,961,9,81,19,0,1,0,0,0,0,1,3,18,75,1,0
54,10.165852,43,1849,17,289,13,0,0,0,1,0,0,1,3,16,37,1,0
55,4.8675346,19,361,4,16,13,1,0,0,1,0,0,1,3,15,150,1,1
56,7.7549105,53,2809,29,841,16,0,0,1,0,0,0,1,7,18,100 - 199,1,1
57,8.7795572,34,1156,12,144,16,1,0,1,0,0,0,1,5,18,1000,1,0
58,6.6253924,28,784,10,100,13,1,0,0,1,0,0,1,3,17,100 - 199,1,1
59,6.3279366,23,529,1,1,16,1,0,1,0,0,0,1,4,18,750,1,1
60,7.0475173,45,2025,28,784,13,0,0,0,1,0,0,1,7,16,37,,1
61,7.8240461,62,3844,47,2209,13,1,0,0,1,0,0,1,2,15,17,1,0
62,9.7981272,26,676,10,100,13,0,0,0,1,0,0,1,2,16,37,1,1
63,6.6200733,27,729,10,100,13,0,0,0,1,0,0,1,3,20,750,1,0
64,5.9914646,20,400,3,9,13,0,0,0,1,0,0,1,4,17,750,1,0
65,7.7561955,26,676,6,36,19,0,1,0,0,0,0,0,3,18,750,1,1
66,9.546813,23,529,8,64,13,0,0,0,1,0,0,1,2,17,75,1,1
67,6.9077554,59,3481,43,1849,16,1,0,1,0,0,0,1,2,16,1000,1,0
68,5.521461,22,484,6,36,13,1,0,0,1,0,0,1,5,17,1000,1,1
69,4.7874918,17,289,1,1,13,1,0,0,1,0,0,1,2,16,17,1,1
70,6.3851943,40,1600,24,576,10,0,0,0,0,0,1,1,2,inapplicable,100 - 199,1,0
71,6.6200733,20,400,2,4,13,1,0,0,1,0,0,1,2,18,100 - 199,,1
72,7.7406645,23,529,1,1,19,1,1,0,0,0,0,1,2,16,1000,1,1
73,11.407565,55,3025,15,225,16,0,0,1,0,0,0,1,6,17,1 - 2,1,1
74,10.839581,44,1936,27,729,16,0,0,1,0,0,0,0,8,16,1000,1,1
75,11.608235,30,900,7,49,19,0,1,0,0,0,0,1,2,19,1000,1,1
76,5.7037826,18,324,1,1,10,1,0,0,0,0,1,1,2,15,17,,1
77,4.0775375,60,3600,39,1521,10,1,0,0,0,0,1,0,5,19,75,1,0
78,10.308952,27,729,3,9,19,1,1,0,0,0,0,1,3,16,17,0,1
79,7.1701198,30,900,8,64,16,1,0,1,0,0,0,0,2,16,350,1,1
80,6.4769726,29,841,11,121,16,1,0,1,0,0,0,0,9,16,150,1,1
81,5.0106354,29,841,13,169,13,1,0,0,1,0,0,1,5,16,17,1,
82,9.3056507,22,484,1,1,19,1,1,0,0,0,0,0,3,16,750,1,1
83,6.8243737,24,576,4,16,16,1,0,1,0,0,0,1,2,17,150,,1
84,9.8652668,33,1089,12,144,16,0,0,1,0,0,0,0,3,16,75,1,1
85,11.156251,59,3481,37,1369,19,0,1,0,0,0,0,0,2,17,1 - 2,1,0
86,10.584056,33,1089,17,289,13,0,0,0,1,0,0,1,7,16,75,1,1
87,8.6995144,22,484,6,36,13,1,0,0,1,0,0,0,9,18,17,1,1
88,10.165852,38,1444,14,196,10,1,0,0,0,0,1,0,5,18,1000,1,1
89,5.2983174,18,324,2,4,13,1,0,0,1,0,0,1,2,18,37,,0
90,6.0520892,16,256,0,0,13,1,0,0,1,0,0,1,2,16,75,,
91,7.467371,24,576,7,49,13,0,0,0,1,0,0,0,3,15,1000,1,1
92,7.4181809,24,576,3,9,16,0,0,1,0,0,0,1,5,16,150,,1
93,6.8793559,31,961,9,81,16,1,0,1,0,0,0,0,11,16,17,1,1
94,5.3471074,25,625,7,49,13,0,0,0,1,0,0,1,5,18,17,1,1
95,10.085809,48,2304,29,841,16,0,0,1,0,0,0,0,2,17,350,1,0
96,10.257659,27,729,11,121,16,0,0,1,0,0,0,0,2,15,1000,1,1
97,10.819778,33,1089,12,144,16,1,0,1,0,0,0,0,13,18,1000,1,0
98,5.8464389,33,1089,17,289,13,0,0,0,1,0,0,1,4,16,1 - 2,1,1
99,6.4846354,51,2601,35,1225,13,0,0,0,1,0,0,1,4,16,350,1,1
100,7.2442274,26,676,9,81,13,1,0,0,1,0,0,1,2,16,17,1,1
101,8.3471165,65,4225,47,2209,10,1,0,0,0,0,1,0,7,18,17,1,0
102,9.5645123,39,1521,26,676,10,1,0,0,0,0,1,0,6,15,17,,0
103,10.308952,42,1764,26,676,13,0,0,0,1,0,0,1,3,16,37,1,1
104,4.7874918,21,441,2,4,10,0,0,0,0,0,1,1,3,16,100 - 199,1,0
105,7.377759,51,2601,34,1156,13,1,0,0,1,0,0,0,6,17,150,1,0
106,6.4769726,58,3364,42,1764,13,0,0,0,1,0,0,0,4,16,150,1,1
107,7.3132205,27,729,7,49,13,1,0,0,1,0,0,0,4,18,1000,1,0
108,4.356709,21,441,4,16,13,1,0,0,1,0,0,1,3,16,100 - 199,,1
109,3.2188759,21,441,5,25,13,1,0,0,1,0,0,0,2,16,100 - 199,1,1
110,10.373491,26,676,10,100,13,1,0,0,1,0,0,1,2,16,750,1,1
111,7.377759,25,625,9,81,13,1,0,0,1,0,0,0,2,16,17,1,1
112,5.7990928,44,1936,27,729,13,0,0,0,1,0,0,1,2,17,37,,1
113,5.0106354,17,289,0,0,13,0,0,0,1,0,0,1,2,16,17,1,1
114,7.3004727,19,361,1,1,13,0,0,0,1,0,0,1,3,17,17,0,0
115,5.3278761,27,729,6,36,16,1,0,1,0,0,0,1,2,16,17,1,1
116,6.9246125,41,1681,25,625,13,1,0,0,1,0,0,0,2,18,350,0,1
117,4.7874918,47,2209,31,961,13,1,0,0,1,0,0,1,2,15,37,1,1
118,9.4572001,67,4489,50,2500,13,0,0,0,1,0,0,1,8,16,17,1,1
119,7.3132205,48,2304,32,1024,13,0,0,0,1,0,0,0,4,16,75,,1
120,6.8023949,25,625,9,81,13,0,0,0,1,0,0,1,2,16,750,1,
121,8.1605186,40,1600,24,576,13,0,0,0,1,0,0,1,3,16,750,,1
122,9.864851,32,1024,15,225,13,0,0,0,1,0,0,1,4,17,150,1,1
123,5.857933,21,441,1,1,13,0,0,0,1,0,0,1,2,18,100 - 199,1,1
124,5.8861041,42,1764,26,676,13,0,0,0,1,0,0,1,4,16,350,1,0
125,9.9522781,47,2209,21,441,16,0,0,1,0,0,0,1,4,19,150,1,1
126,5.6204009,32,1024,11,121,19,1,1,0,0,0,0,1,2,16,100 - 199,1,1
127,9.9987974,32,1024,14,196,16,0,0,1,0,0,0,1,2,16,350,1,1
128,11.512925,32,1024,11,121,19,0,1,0,0,0,0,1,2,18,350,1,1
129,7.495542,49,2401,26,676,19,0,1,0,0,0,0,0,2,18,17,1,1
130,10.491274,34,1156,15,225,13,0,0,0,1,0,0,0,2,16,37,1,1
131,9.8726673,32,1024,15,225,13,1,0,0,1,0,0,0,8,16,350,,1
132,6.3969297,20,400,4,16,16,1,0,1,0,0,0,1,2,16,75,0,0
133,6.0637851,28,784,7,49,16,1,0,1,0,0,0,1,4,18,150,,0
134,10.081634,31,961,8,64,16,0,0,1,0,0,0,1,4,18,350,1,1
135,10.1849,29,841,8,64,19,0,1,0,0,0,0,1,2,17,17,0,1
136,9.392662,26,676,10,100,13,1,0,0,1,0,0,0,2,16,350,1,1
137,9.9522781,27,729,9,81,16,1,0,1,0,0,0,0,4,17,1000,1,1
138,6.0402546,26,676,8,64,13,0,0,0,1,0,0,1,5,16,17,0,0
139,6.652863,18,324,1,1,16,1,0,1,0,0,0,1,2,16,1000,1,1
140,10.668956,49,2401,26,676,13,0,0,0,1,0,0,1,4,16,75,1,0
141,8.4118328,38,1444,16,256,16,0,0,1,0,0,0,0,2,18,150,1,1
142,8.2295113,31,961,7,49,19,1,1,0,0,0,0,1,2,17,1 - 2,1,1
143,7.377759,57,3249,36,1296,10,1,0,0,0,0,1,0,2,18,17,1,1
144,10.021271,25,625,3,9,16,1,0,1,0,0,0,1,4,18,150,1,1
145,6.0426331,41,1681,25,625,10,0,0,0,0,0,1,1,2,16,75,1,1
146,5.8141303,32,1024,17,289,10,0,0,0,0,0,1,1,2,16,75,1,1
147,5.480639,17,289,2,4,13,1,0,0,1,0,0,1,5,15,100 - 199,1,1
148,9.7409687,52,2704,35,1225,13,1,0,0,1,0,0,1,7,17,150,1,0
149,5.7990928,21,441,2,4,13,0,0,0,1,0,0,1,3,19,1000,1,1
150,9.7111158,25,625,6,36,13,1,0,0,1,0,0,1,4,18,37,0,1
151,6.5510802,31,961,5,25,19,0,1,0,0,0,0,0,4,17,1000,1,
152,7.0732698,18,324,3,9,13,0,0,0,1,0,0,1,5,16,75,1,1
153,6.1092477,25,625,9,81,10,0,0,0,0,0,1,1,2,16,100 - 199,1,1
154,5.0751739,32,1024,15,225,19,0,1,0,0,0,0,1,5,16,37,1,1
155,6.4409466,16,256,1,1,13,1,0,0,1,0,0,1,2,inapplicable,75,,
156,2.1972246,25,625,9,81,13,0,0,0,1,0,0,1,3,16,750,1,0
157,11.0021,53,2809,32,1024,19,0,1,0,0,0,0,0,3,18,1000,1,0
158,7.6143122,28,784,5,25,16,1,0,1,0,0,0,0,4,16,150,1,1
159,9.8521938,35,1225,23,529,13,1,0,0,1,0,0,1,5,16,100 - 199,,1
160,6.0330863,47,2209,30,900,13,0,0,0,1,0,0,1,3,16,75,0,1
161,6.8023949,30,900,14,196,13,0,0,0,1,0,0,1,3,16,750,1,1
162,7.5368972,29,841,7,49,16,0,0,1,0,0,0,0,2,18,37,1,1
163,7.284821,23,529,1,1,16,1,0,1,0,0,0,0,2,18,150,1,1
164,6.8057227,33,1089,19,361,10,0,0,0,0,0,1,1,7,14,37,1,1
165,9.6485949,31,961,15,225,13,0,0,0,1,0,0,1,5,16,150,1,1
166,4.0073333,17,289,1,1,13,0,0,0,1,0,0,1,2,16,75,1,1
167,5.2983174,18,324,1,1,10,1,0,0,0,0,1,1,3,16,75,0,0
168,7.8240461,42,1764,21,441,16,1,0,1,0,0,0,0,6,18,350,1,0
169,7.7832241,50,2500,33,1089,16,1,0,1,0,0,0,0,8,16,75,1,1
170,6.4769726,26,676,9,81,13,1,0,0,1,0,0,1,7,16,100 - 199,1,1
171,7.6962128,65,4225,48,2304,13,0,0,0,1,0,0,1,5,18,37,1,1
172,10.021271,32,1024,14,196,13,0,0,0,1,0,0,1,2,16,150,1,1
173,10.621327,29,841,8,64,16,0,0,1,0,0,0,0,2,18,350,,0
174,7.1701198,34,1156,16,256,13,1,0,0,1,0,0,1,2,16,75,1,1
175,7.8898339,36,1296,9,81,19,0,1,0,0,0,0,0,4,18,75,1,0
176,8.0063677,48,2304,31,961,10,0,0,0,0,0,1,1,6,16,17,1,1
177,5.2983174,44,1936,29,841,10,0,0,0,0,0,1,1,2,16,17,0,0
178,7.5234814,43,1849,17,289,16,0,0,1,0,0,0,1,4,16,350,1,1
179,4.6151204,16,256,1,1,13,0,0,0,1,0,0,1,2,16,100 - 199,,
